"priority","key","english","portuguese","do_not_translate","notes"
"1","nav.memories.label","Memories","","","Short label on: main navigation bar. The same English text ""Memories"" is used by 3 different keys (e.g. memories.aria, features.memories.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nav.memories.title","Memories — saved channels: repeaters, nets, calling freqs; groups + ★ favorites; one click to tune","","",""
"1","nav.program.label","Program","","","Short label on: main navigation bar. The same English text ""Program"" is used by 4 different keys (e.g. ota.program.aria, program.title, features.program.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nav.program.title","Program — build channel lists for your radios: local repeaters → CHIRP CSV, rig memories, or tune-now","","CHIRP | CSV",""
"1","nav.order.reset.label","Reset order","","",""
"1","nav.order.reset.title","Reset the section order to default","","",""
"1","nav.mode.title","Active operating mode","","",""
"1","nav.mode.chat","CHAT","","","Abbreviation shown on: main navigation bar. Check the screen before expanding or translating it."
"1","nav.settings.label","Settings","","","Short label on: main navigation bar. The same English text ""Settings"" is used by 3 different keys (e.g. settings.panel.title, features.settings.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","topbar.tier.aria","Link tier","","",""
"1","topbar.tier.tempoFast.title","Fast conversational tier","","",""
"1","topbar.tier.tempoDeep.title","Robust non-coherent tier — fading-resilient (15 s)","","",""
"1","topbar.tier.ft4.title","Standard WSJT-X FT4 (7.5 s)","","WSJT-X | FT4 | 7.5",""
"1","topbar.tier.ft8.title","Standard WSJT-X FT8 (15 s)","","WSJT-X | FT8",""
"1","topbar.tier.ft2.title","FT2 — Decodium’s fast slotted mode (3.75 s), FT4 with a halved symbol time. Transmit and receive. No settings: the period is fixed","","FT2 | FT4 | 3.75",""
"1","topbar.tier.wspr.title","WSPR propagation beacons — 2 min intervals. Transmits on a schedule; set the transmit % and power in Settings ▸ Beacons (WSPR & FST4W)","","FST4W | WSPR",""
"1","topbar.tier.q65.title","Q65 — EME / VHF+ scatter. Transmit and receive. Period + submode in Settings ▸ Q65","","EME | Q65 | VHF",""
"1","topbar.tier.msk144.title","MSK144 — meteor scatter. Transmits for nearly the whole period (that is how the mode works). Period in Settings ▸ MSK144","","MSK144",""
"1","topbar.tier.jt65.title","JT65 — classic EME, 60 s. Receive only in this build (transmit is disabled pending a fix). Submode in Settings ▸ JT65","","JT65 | EME",""
"1","topbar.tier.fst4.title","FST4 — slow weak-signal QSO mode (LF/MF). Transmit and receive","","FST4 | QSO | LF/MF",""
"1","topbar.tier.fst4w.title","FST4W — LF/MF beacons. Transmits on a schedule; set the transmit % and power in Settings ▸ Beacons (WSPR & FST4W). Hashed calls show as <...>","","FST4W | WSPR | LF/MF",""
"1","topbar.rxOnly.why","This mode is receive-only in Nexus — it decodes but does not transmit","","Nexus",""
"1","topbar.help.label","Help","","","One-word control on: top bar. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"1","topbar.field.label","Field","","","One-word control on: top bar. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"1","topbar.field.on.title","Field mode is on: larger type, maximum contrast. Click to turn off.","","",""
"1","topbar.field.off.title","Field mode for operating outdoors: larger type, maximum contrast","","",""
"1","topbar.operator.title","Operating as {{call}} — click to change who is at the key","","{{call}}",""
"1","topbar.operator.switch","Switch to {{call}}","","{{call}}",""
"1","topbar.operator.single","Single operator (clear)","","",""
"1","topbar.operator.set","Set operator","","",""
"1","topbar.operator.set.title","Nobody is set as the operator — click to say who is at the key","","",""
"1","topbar.operator.firstSet","No operators logged yet — set the first one on the Field Day dashboard","","Field Day",""
"1","topbar.rigMode.chip","rig: {{mode}}","","{{mode}}","Short label on: top bar. The same English text ""rig: {{mode}}"" is used by 3 different keys (e.g. operate.strip.rigDiverge.label, phone.rigMismatch.chip) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","topbar.rigMode.title","Your rig is on {{rig}}, but Nexus has {{believed}}. Turn the rig's mode knob (or pick the band in an operating cockpit) to match.","","{{rig}} | {{believed}} | Nexus",""
"1","topbar.rxLevel.label","RX audio level","","RX","Short label on: top bar. The same English text ""RX audio level"" is used by 3 different keys (e.g. settings.audio.rxLevel.meter, phone.rxMeter.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","topbar.rxLevel.title","RX audio level (aim ~30 dB, like WSJT-X)","","WSJT-X | RX | dB",""
"1","topbar.recording.title","Recording this QSO to a WAV — click to stop","","QSO | WAV",""
"1","topbar.txControls.aria","Transmit controls","","","Short label on: top bar. The same English text ""Transmit controls"" is used by 2 different keys (e.g. operate.strip.txControls.aria) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","topbar.holdTx.label","Hold Tx","","","Short label on: top bar. The same English text ""Hold Tx"" is used by 2 different keys (e.g. operate.strip.holdTx.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","topbar.holdTx.title","Hold Tx Freq: keep your TX offset where you put it when you double-click a station to work them. Off, your TX moves onto theirs (WSJT-X's behaviour). A plain waterfall click never moves TX either way.","","WSJT-X | TX",""
"1","topbar.slotClock.title","Time to next slot","","",""
"1","topbar.slotClock.label","next slot","","",""
"1","topbar.utc.title","UTC time","","UTC",""
"1","topbar.clock.label","clock {{offset}}","","{{offset}}",""
"1","topbar.clock.title","PC clock is {{offset}} vs UTC (NTP). TempoFast/TempoDeep need it within ~0.5 s — sync via NTP / time.is (off-grid: GPS).","","{{offset}} | TempoDeep | TempoFast | NTP | UTC | 0.5",""
"1","topbar.sync.ok.label","Sync","","","One-word control on: top bar. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"1","topbar.sync.bad.label","No Sync","","",""
"1","topbar.sync.ok.title","Time sync OK (from decode timing)","","",""
"1","topbar.sync.bad.title","Decodes land far off the slot boundary — sync your PC clock (NTP / time.is; off-grid: GPS).","","NTP",""
"1","topbar.dt.title","Decode time offset (how far heard signals land from the slot boundary)","","",""
"1","topbar.txCycle.aria","Transmit cycle","","",""
"1","topbar.txCycle.auto.title","Auto-cycle (FT8-style): when you answer a station, transmit on the opposite T/R cycle to theirs","","FT8",""
"1","topbar.txCycle.auto.idle","Auto <s>cycle</s>","","<s>",""
"1","topbar.txCycle.auto.first","Auto <s>1st</s>","","<s>",""
"1","topbar.txCycle.auto.second","Auto <s>2nd</s>","","<s>",""
"1","topbar.txCycle.first.label","Tx 1st <s>even</s>","","<s>",""
"1","topbar.txCycle.first.title","Lock transmit to the even (1st) T/R slots — the station you work must be Tx 2nd","","",""
"1","topbar.txCycle.second.label","Tx 2nd <s>odd</s>","","<s>",""
"1","topbar.txCycle.second.title","Lock transmit to the odd (2nd) T/R slots — the station you work must be Tx 1st","","",""
"1","nowbar.aria","Now: band, getting out, and top need","","",""
"1","nowbar.label","NOW","","","Abbreviation shown on: Now bar (under the top bar). Check the screen before expanding or translating it."
"1","nowbar.age.secs","{{secs}}s","","{{secs}}","Short label on: Now bar (under the top bar). The same English text ""{{secs}}s"" is used by 2 different keys (e.g. aprs.age.secs) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nowbar.age.mins","{{mins}}m","","{{mins}}","Short label on: Now bar (under the top bar). The same English text ""{{mins}}m"" is used by 3 different keys (e.g. connect.basic.greyline.in.mins, aprs.age.mins) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nowbar.age.hours","{{hours}}h","","{{hours}}","Short label on: Now bar (under the top bar). The same English text ""{{hours}}h"" is used by 2 different keys (e.g. aprs.age.hours) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nowbar.band.label","Band","","","Short label on: Now bar (under the top bar). The same English text ""Band"" is used by 13 different keys (e.g. logbook.field.band.label, logbook.column.band, logEntry.override.band.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nowbar.band.open","open","","","One-word control on: Now bar (under the top bar). Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"1","nowbar.band.fair","fair","","","One-word control on: Now bar (under the top bar). Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"1","nowbar.band.quiet","quiet","","","One-word control on: Now bar (under the top bar). Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"1","nowbar.band.closed","closed","","","One-word control on: Now bar (under the top bar). Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"1","nowbar.band.title.connect","Open Connect — the map + nowcast","","",""
"1","nowbar.band.title.plain","Band activity","","","Short label on: Now bar (under the top bar). The same English text ""Band activity"" is used by 4 different keys (e.g. prop.bands.aria, cw.pane.bandActivity.title, phone.pane.bandActivity.title) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nowbar.out.label","Out","","","One-word control on: Now bar (under the top bar). Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"1","nowbar.out.hearYou","{{count}} hear you","","{{count}}",""
"1","nowbar.out.none","no spots of you yet","","",""
"1","nowbar.out.title","{{hear}} station(s) hear you · you hear {{ihear}} (PSK Reporter, {{band}})","","{{hear}} | {{ihear}} | {{band}} | PSK Reporter | PSK",""
"1","nowbar.out.title.none","No propagation data yet","","",""
"1","nowbar.need.label","Need","","","Short label on: Now bar (under the top bar). The same English text ""Need"" is used by 4 different keys (e.g. needed.column.need, map.colorBy.need.label, operate.roster.col.need) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nowbar.need.value","{{entity}} {{band}} · {{likelihood}}","","{{entity}} | {{band}} | {{likelihood}}",""
"1","nowbar.need.none","nothing workable now","","",""
"1","nowbar.need.where","{{entity}} {{azimuth}}","","{{entity}} | {{azimuth}}",""
"1","nowbar.need.title","{{call}} ({{where}}) — {{need}} on {{band}}, likelihood {{likelihood}}","","{{call}} | {{where}} | {{need}} | {{band}} | {{likelihood}}",""
"1","nowbar.need.title.confirmed","{{call}} ({{where}}) — {{need}} on {{band}}, likelihood {{likelihood}} (live-confirmed)","","{{call}} | {{where}} | {{need}} | {{band}} | {{likelihood}}",""
"1","nowbar.need.title.none","No DXpedition needs workable right now","","DXpedition",""
"1","nowbar.prop.live","PROP LIVE","","",""
"1","nowbar.prop.partial","PROP PARTIAL","","",""
"1","nowbar.prop.cached","PROP CACHED","","",""
"1","nowbar.prop.offline","NO LIVE DATA","","DATA","Short label on: Now bar (under the top bar). The same English text ""NO LIVE DATA"" is used by 4 different keys (e.g. map.prov.none, dxped.prov.none, connect.prov.offline) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nowbar.prop.title","Propagation nowcast data is {{source}} — separate from the Cluster/PSKR connection pills","","{{source}}",""
"1","nowbar.feed.live.value","live {{age}}","","{{age}}",""
"1","nowbar.feed.live.value.noAge","live","","","Short label on: Now bar (under the top bar). The same English text ""live"" is used by 2 different keys (e.g. logEntry.park.live.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","nowbar.feed.live.title","{{name}}: receiving (last {{age}} ago)","","{{name}} | {{age}}",""
"1","nowbar.feed.connected.value","connected","","","One-word control on: Now bar (under the top bar). Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"1","nowbar.feed.connected.title","{{name}}: connected — no reports yet (normal until you transmit or the band stirs)","","{{name}}",""
"1","nowbar.feed.connecting.value","connecting…","","","One-word control on: Now bar (under the top bar). Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"1","nowbar.feed.connecting.title","{{name}}: trying to reach the server","","{{name}}",""
"1","nowbar.feed.reconnecting.value","reconnecting…","","","One-word control on: Now bar (under the top bar). Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"1","nowbar.feed.reconnecting.title","{{name}}: connection dropped — retrying","","{{name}}",""
"1","nowbar.feed.reconnecting.title.age","{{name}}: connection dropped — retrying (last event {{age}} ago)","","{{name}} | {{age}}",""
"1","nowbar.feed.idle.value","idle {{age}}","","{{age}}",""
"1","nowbar.feed.idle.title","{{name}}: connected, no data for {{age}} (a quiet band is normal)","","{{name}} | {{age}}",""
"1","nowbar.feed.unknown.title","{{name}}: {{state}}","","{{name}} | {{state}}",""
"1","nowbar.feed.title.detail","{{title}} ({{detail}})","","{{title}} | {{detail}}",""
"1","shell.loading","Connecting to Nexus…","","Nexus",""
"1","shell.windowTitle","{{section}} — Nexus","","{{section}} | Nexus",""
"1","shell.tx.announce.on","Transmitting","","","Short label on: application shell. The same English text ""Transmitting"" is used by 3 different keys (e.g. status.tx.label, settings.sstv.transmitting.title) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","shell.tx.announce.off","Receiving","","","Short label on: application shell. The same English text ""Receiving"" is used by 3 different keys (e.g. status.rx.label, settings.sstv.receiving.title) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","shell.rail.stations.aria","Resize stations panel (double-click to reset)","","",""
"1","shell.rail.waterfall.aria","Resize waterfall pane (double-click to reset)","","",""
"1","shell.bandActivity.title","Band Activity — heard on the band","","",""
"1","shell.roam.aria","Roam settings","","","Short label on: application shell. The same English text ""Roam settings"" is used by 2 different keys (e.g. roam.chip.settings.aria) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","shell.roam.close.aria","Close Roam settings","","",""
"1","shell.crash.section","This section","","",""
"1","shell.crash.retry","Try again","","",""
"1","shell.crash.back","Back to {{section}}","","{{section}}",""
"1","shell.lane.audio.message","RADIO STOPPED","","",""
"1","shell.lane.radioConfig.message","RADIO CONFIG","","",""
"1","shell.lane.txPowerZero.message","NO RF POWER","","RF",""
"1","shell.lane.txPowerZero.detail","The radio reports 0% power and transmit is armed — it will key and put nothing on the air. Check the Pwr slider, and the rig’s own power for THIS mode: Yaesu rigs keep a separate level for SSB, DATA, CW and AM.","","Yaesu | DATA | SSB | AM | CW",""
"1","shell.lane.recording.message","RECORDING","","","One-word control on: application shell. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"1","shell.lane.prop.offline.message","Prop: no live data","","",""
"1","shell.lane.prop.offline.detail","No live propagation data yet — set your callsign in Settings and check your internet connection.","","",""
"1","shell.lane.prop.cached.message","Prop: cached {{minutes}}m","","{{minutes}}",""
"1","shell.lane.prop.cached.detail","Live propagation refetch failed — showing the last-good snapshot.","","",""
"1","shell.conversation.delete.title","Delete the conversation with {{peer}}?","","{{peer}}",""
"1","shell.conversation.delete.body","Any messages still waiting to send will be cancelled. This can't be undone.","","",""
"1","shell.conversation.delete.action","Delete conversation","","",""
"1","shell.conversation.delete.failed","Could not delete conversation","","",""
"1","shell.error.switchMode","Could not switch mode","","",""
"1","shell.error.selectStation","Could not select station","","",""
"1","shell.ownCall","{{call}} is your own call","","{{call}}",""
"1","shell.tempo.open.failed","Could not open {{call}}","","{{call}}",""
"1","shell.tempo.opened","▶ {{call}} — open in Tempo","","{{call}}",""
"1","shell.work.failed","Could not work {{call}}","","{{call}}",""
"1","shell.work.started","▶ Working {{call}} — transmitting your call","","{{call}}",""
"1","shell.work.failed.cat","Could not work {{call}} — check CAT","","{{call}} | CAT",""
"1","shell.work.ready","▶ {{call}} — {{mode}} {{band}}, ready to log","","{{call}} | {{mode}} | {{band}}",""
"1","shell.work.here","▶ {{call}} — {{band}} {{freq}} MHz","","{{call}} | {{band}} | {{freq}} | MHz",""
"1","shell.pounce.qsy.failed","Could not QSY to {{call}}","","{{call}} | QSY",""
"1","shell.log.failed","Could not log QSO","","QSO","Short label on: application shell. The same English text ""Could not log QSO"" is used by 2 different keys (e.g. logbook.form.logFailed) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","shell.log.discard.failed","Could not discard QSO","","QSO",""
"1","shell.toast.logged","Logged QSO","","QSO",""
"1","shell.toast.nothingToLog","Nothing to log — the QSO already closed or no report was exchanged","","QSO",""
"1","shell.message.failed","Message could not be sent","","",""
"1","shell.bandFeed.failed","Could not open the band feed","","",""
"1","shell.resend.failed","Could not re-send to {{peer}}","","{{peer}}",""
"1","shell.resend.sending","↻ Re-sending to {{peer}}","","{{peer}}",""
"1","shell.resend.qso.failed","Could not resend","","",""
"1","shell.freetext.failed","Could not send free text","","",""
"1","shell.broadcast.failed","Could not broadcast","","",""
"1","shell.cq.failed","Could not call CQ","","CQ",""
"1","shell.cqRun.toggle.failed","Could not toggle the CQ run","","CQ",""
"1","shell.cqRun.resume.failed","Could not resume the CQ run","","CQ",""
"1","shell.beacon.failed","Could not toggle the heartbeat","","",""
"1","shell.frequency.failed","Could not set frequency","","",""
"1","shell.blocklist.failed","Could not update the blocklist","","",""
"1","shell.aprs.tune.failed","Could not tune to APRS","","APRS",""
"1","shell.tx.enable.failed","Could not enable transmit","","",""
"1","shell.tx.mute.failed","Could not mute transmit","","",""
"1","shell.tx.level.failed","Could not set TX level","","TX",""
"1","shell.tune.failed","Could not toggle tune","","",""
"1","shell.proveTx.failed","Could not key the transmitter","","",""
"1","shell.halt.failed","Could not stop transmit","","",""
"1","shell.radio.switch.failed","Could not switch radios","","","Short label on: application shell. The same English text ""Could not switch radios"" is used by 2 different keys (e.g. settings.radios.switch.failed) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","shell.pegLock.failed","Could not set peg-lock","","",""
"1","shell.overrideTx.failed","Could not queue TX to {{call}}","","{{call}} | TX",""
"1","shell.txPeriod.failed","Could not set transmit period","","",""
"1","shell.cycleMode.failed","Could not set the cycle mode","","",""
"1","shell.holdTx.failed","Could not toggle Hold Tx","","",""
"1","shell.offset.failed","Could not set offset","","",""
"1","shell.tier.failed","Could not change tier","","",""
"1","shell.digital.failed","Could not switch to Digital","","",""
"1","shell.source.switchFailed","Could not switch signal source","","",""
"1","shell.roam.toggle.failed","Could not toggle Roam","","",""
"1","shell.qsy.failed","Could not QSY to {{band}}","","{{band}} | QSY",""
"1","shell.qsy.noChannel","No channel for {{band}} in the band plan","","{{band}}",""
"1","shell.qsy.done","QSY {{dial}} MHz — listening","","{{dial}} | MHz | QSY",""
"1","shell.recall.sectionOff","Enable the {{section}} section in Settings to recall this memory","","{{section}}",""
"1","shell.recall.failed","Recall failed — check CAT","","CAT",""
"1","shell.recall.error","Recall failed: {{error}}","","{{error}}",""
"1","shell.recall.done","{{name}} — {{freq}} MHz {{mode}}","","{{name}} | {{freq}} | {{mode}} | MHz",""
"1","shell.recall.done.setMode","{{name}} — {{freq}} MHz · set {{mode}} on the rig","","{{name}} | {{freq}} | {{mode}} | MHz",""
"1","shell.net.reminder","Net {{until}}: {{name}} — {{freq}} {{mode}}","","{{until}} | {{name}} | {{freq}} | {{mode}}",""
"1","shell.net.tune","Tune","","","Short label on: application shell. The same English text ""Tune"" is used by 4 different keys (e.g. memories.grid.tune.label, memories.row.tune.label, program.row.tune.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","shell.rotator.pointed","↗ Pointing antenna to {{bearing}}° ({{call}})","","{{bearing}} | {{call}}",""
"1","shell.rotator.failed","Couldn't point the antenna at {{call}}","","{{call}}",""
"1","shell.source.companion","Source: {{source}} — listening for WSJT-X/JTDX/MSHV on :2237","","{{source}} | WSJT-X | JTDX | MSHV | JTDX/MSHV",""
"1","shell.source.set","Source: {{source}}","","{{source}}",""
"1","shell.wizard.saveFailed","Setup didn't fully save: {{error}} — check Settings","","{{error}}",""
"1","cockpit.header.readout.wheelTune.title","Scroll to tune","","",""
"1","cockpit.header.readout.digitTune.title","Scroll a digit to tune it","","",""
"1","cockpit.header.bandEdge.up","Stopped at the {{band}} band edge, {{edge}} MHz — scroll again to keep tuning up","","{{band}} | {{edge}} | MHz",""
"1","cockpit.header.bandEdge.down","Stopped at the {{band}} band edge, {{edge}} MHz — scroll again to keep tuning down","","{{band}} | {{edge}} | MHz",""
"1","cockpit.header.power.label","Power","","","Short label on: cockpit header & tuning strip. The same English text ""Power"" is used by 5 different keys (e.g. rtty.header.power.label, psk.header.power.label, sstv.header.power.label) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","cockpit.header.power.title","{{label}} — trim so your rig's ALC is just zero","","{{label}} | ALC",""
"1","cockpit.header.cat.ok.title","CAT link OK","","CAT",""
"1","cockpit.header.cat.bad.title","No CAT link","","CAT",""
"1","cockpit.tuning.aria","Tuning","","","One-word control on: cockpit header & tuning strip. Out of context this could be a noun or a verb — open that screen (or read the key name) before choosing the Portuguese word."
"1","cockpit.tuning.down.title","Down {{hz}} Hz","","{{hz}} | Hz",""
"1","cockpit.tuning.down.aria","Tune down {{hz}} Hz","","{{hz}} | Hz",""
"1","cockpit.tuning.up.title","Up {{hz}} Hz","","{{hz}} | Hz",""
"1","cockpit.tuning.up.aria","Tune up {{hz}} Hz","","{{hz}} | Hz",""
"1","cockpit.tuning.wheel.title","Scroll to tune ±{{hz}} Hz (Shift = ×10)","","{{hz}} | Hz",""
"1","cockpit.tuning.step.label","Tuning step","","",""
"1","cockpit.tuning.vfo.aria","Active VFO","","VFO",""
"1","cockpit.tuning.vfo.title","Use VFO {{vfo}}","","{{vfo}} | VFO",""
"1","cockpit.tuning.rit.title","RIT clarifier — click to clear","","",""
"1","cockpit.tuning.rit.down.aria","RIT down","","",""
"1","cockpit.tuning.rit.up.aria","RIT up","","",""
"1","cockpit.tuning.xit.title","XIT clarifier — click to clear","","",""
"1","cockpit.tuning.xit.down.aria","XIT down","","",""
"1","cockpit.tuning.xit.up.aria","XIT up","","",""
"1","pane.popOut.aria","Open {{title}} in its own window","","{{title}}",""
"1","pane.popOut.title","Open this pane in its own window (for a second monitor)","","",""
"1","pane.hide.aria","Hide {{title}}","","{{title}}",""
"1","pane.hide.title","Hide this pane (restore it from the ⊞ Panels menu)","","",""
"1","panels.button","⊞ Panels","","",""
"1","panels.button.hidden","⊞ Panels · {{count}} hidden","","{{count}}",""
"1","panels.button.title","Show or hide the panels on this screen — untick one and its neighbours expand into the space it leaves","","",""
"1","panels.popover.aria","Panels on this screen","","",""
"1","panels.tag.popped","popped out","","",""
"1","panels.undo","Undo last change","","",""
"1","panels.undo.title","Put the layout back the way it was before the last change","","",""
"1","panels.reset","Reset layout","","",""
"1","panels.reset.title","Show every panel again (the stock layout)","","",""
"1","splitter.title","Drag to resize ({{label}})","","{{label}}",""
"1","detached.connecting","Connecting to the radio…","","",""
"1","detached.fieldDay.inactive","Field Day isn’t active.","","Field Day",""
"1","detached.fdClub.away.head","Club board","","",""
"1","detached.fdClub.away.body","The club board shows here while Field Day is the section you are working in. Step back into Field Day and it comes straight back — nothing has stopped, and the host is still collecting contacts.","","Field Day",""
"1","detached.fdClub.off.head","Club sync is off","","",""
"1","detached.fdClub.off.body","This station is not hosting a club event and has not joined one, so there are no other positions to show.","","",""
"1","detached.fdClub.off.route","Turn it on in Settings ▸ Contesting ▸ Field Day Club Sync ▸ Host a club event — or paste the host station’s address into Join event at to join one someone else is running.","","Field Day",""
"1","detached.fdClub.off.wait","Leave this window open. The board fills in by itself the moment sync starts.","","",""
"1","detached.unavailable","Panel “{{panel}}” isn’t available as a standalone window yet.","","{{panel}}",""
"1","toast.action.default","Work","","","Short label on: toast notifications. The same English text ""Work"" is used by 4 different keys (e.g. roster.card.work.label, dxped.chase.work, alerts.action.work) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","toast.dismiss","Dismiss notification","","",""
"1","status.newEntity.label","New entity (ATNO)","","ATNO",""
"1","status.newBand.label","New band","","","Short label on: connection-status chips. The same English text ""New band"" is used by 2 different keys (e.g. needed.filter.newBand) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","status.newMode.label","New mode","","","Short label on: connection-status chips. The same English text ""New mode"" is used by 2 different keys (e.g. needed.filter.newMode) — each can take a different Portuguese word, so choose the one that fits THIS screen."
"1","status.worked.label","Worked, unconfirmed","","",""
